task,count,pct,ai_autonomy_mean,ai_autonomy_median,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean
conduct social research.,78.0000,0.0078,3.6667,4.0000,13.5769,13.0769,5.2782,22.4487
"conduct standardized tests on food, beverages, additives, or preservatives to ensure compliance with standards and regulations regarding factors such as color, texture, or nutrients.",18.0000,0.0018,3.2222,3.0000,13.7778,13.7778,4.1944,11.7778
conduct statistical analyses to quantify risk using statistical analysis software or econometric models.,24.0000,0.0024,3.3333,4.0000,15.3333,15.2917,5.8783,22.4583
"conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews.",53.0000,0.0053,3.2075,3.0000,12.0000,12.4906,6.1362,7.9717
conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,18.0000,0.0018,3.5556,4.0000,16.0556,16.4444,3.9306,15.7778
"conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services.",75.0000,0.0075,3.4800,4.0000,14.6400,14.5200,5.6933,18.5533
"conduct training programs to develop or maintain desired animal behaviors for competition, entertainment, obedience, security, riding, or related purposes.",25.0000,0.0025,3.7200,4.0000,7.7600,6.6000,0.8732,9.6400
"conduct, or oversee the conduct of, chemical, physical, and biological water quality monitoring or sampling to ensure compliance with water quality standards.",26.0000,0.0026,3.1538,3.0000,13.1923,12.8462,3.6096,12.1538
"confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",242.0000,0.0242,2.9917,3.0000,12.9339,13.1488,2.0600,14.0372
"confer with client to determine factors affecting planning interior environments, such as budget, architectural preferences, and purpose and function.",86.0000,0.0086,3.3721,4.0000,9.5465,9.2674,2.0124,12.0174
confer with clients about their medical histories and problems with stress or pain to determine how massage will be most helpful.,61.0000,0.0061,3.6230,4.0000,9.8361,8.5246,1.1926,10.3525
confer with clients regarding the nature of the information processing or computation needs a computer program is to address.,8063.0000,0.8063,3.5452,4.0000,11.7371,11.5884,1.9333,10.7135
"confer with clients to determine objectives, budget, background information, and presentation approaches, styles, and techniques.",484.0000,0.0484,3.3719,3.0000,11.1983,12.7996,1.9956,10.0888
"confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.",1142.0000,0.1142,3.6760,4.0000,14.0543,14.5035,3.4474,23.6541
confer with clients to discuss and determine layout design.,26.0000,0.0026,3.3077,4.0000,10.5769,10.4231,3.1827,17.2500
confer with clients to obtain and provide information when claims are made on a policy.,85.0000,0.0085,3.3176,3.0000,12.2824,11.7059,1.6335,12.4000
confer with clients to provide marketing or technical advice.,96.0000,0.0096,3.5938,4.0000,11.6771,11.6146,2.3062,18.2812
"confer with clients, editors, writers, art directors, and other interested parties regarding the nature and content of artwork to be produced.",128.0000,0.0128,3.5391,4.0000,10.0234,10.5547,1.4477,11.1602
"confer with clients, vendors, staff, and management personnel regarding purchases, product and production specifications, manufacturing capabilities, or project status.",25.0000,0.0025,3.5200,4.0000,9.0000,10.2800,0.5708,5.4200
confer with colleagues to formulate positions and strategies pertaining to pending issues.,55.0000,0.0055,3.3818,4.0000,14.9455,15.0000,3.0536,21.8455
"confer with company officials to develop methods and procedures to increase sales, expand markets, and promote business.",264.0000,0.0264,3.7500,4.0000,12.8939,13.1212,5.1506,18.1856
"confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules.",43.0000,0.0043,2.9767,3.0000,13.4186,13.9070,2.9326,11.7558
"confer with creative, art, copywriting, or production department heads to discuss client requirements and presentation concepts and to coordinate creative activities.",15.0000,0.0015,3.2000,3.0000,12.2667,13.0667,3.1733,13.8000
confer with customers and engineers to assess equipment needs and to determine system requirements.,433.0000,0.0433,3.6189,4.0000,12.7875,12.9746,3.4585,16.2725
"confer with customers by telephone or in person to determine reasons for overdue payments and to review the terms of sales, service, or credit contracts.",21.0000,0.0021,2.7619,3.0000,12.6190,12.0476,1.6571,17.8333
"confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",337.0000,0.0337,3.0979,3.0000,9.0595,8.8694,1.0320,12.5616
confer with customers to assess customer needs or obtain feedback.,360.0000,0.0360,3.4306,4.0000,8.4806,8.3750,0.8174,6.6389
confer with customers to determine how to tailor materials to their needs.,116.0000,0.0116,3.3448,4.0000,12.0690,12.1034,1.9572,10.3879
confer with customers to determine project requirements or to provide cost estimates.,116.0000,0.0116,3.1466,3.0000,8.3190,10.2414,0.4523,3.6853
confer with customers to determine the nature of problems or to explain repairs.,17.0000,0.0017,3.7059,4.0000,8.4706,7.3529,0.5294,6.1765
confer with customers to determine their service requirements and travel preferences.,72.0000,0.0072,3.4028,4.0000,9.6944,9.7778,2.4643,14.3333
confer with customers to determine types of material and garment styles desired.,25.0000,0.0025,3.4400,4.0000,8.5600,8.1200,1.2440,14.0800
confer with customers to obtain descriptions of vehicle problems and to discuss work to be performed and future repair requirements.,121.0000,0.0121,3.4380,4.0000,8.9587,8.1653,0.9832,9.3099
"confer with customers, read work orders, or examine vehicles needing repair to determine the nature and extent of damage.",30.0000,0.0030,3.2667,3.0000,9.2000,8.6000,0.7457,11.4667
"confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",21.0000,0.0021,3.0000,3.0000,11.4286,11.8571,0.8967,6.5952
"confer with departments such as marketing, business development, and operations to coordinate product development or improvement.",19.0000,0.0019,3.7895,4.0000,13.7368,13.2105,3.6342,14.2632
"confer with disputants to clarify issues, identify underlying concerns, and develop an understanding of their respective needs and interests.",76.0000,0.0076,3.6053,4.0000,12.7763,12.3289,2.7392,23.2434
confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system.,88.0000,0.0088,3.4773,4.0000,14.5000,13.9886,3.3028,19.0341
"confer with engineering, marketing, production, or sales departments, or with customers, to establish and evaluate design concepts for manufactured products.",20.0000,0.0020,3.6000,4.0000,12.1500,11.7000,4.6225,17.6000
"confer with engineers, customers, vendors, or others to discuss existing or potential electronics engineering projects or products.",27.0000,0.0027,3.5926,4.0000,13.5556,14.0000,3.3981,21.8148
"confer with escrow companies, lenders, home inspectors, and pest control operators to ensure that terms and conditions of purchase agreements are met before closing dates.",19.0000,0.0019,3.1053,3.0000,12.8421,12.8421,1.3237,19.0789
"confer with establishment personnel, vendors, or customers to coordinate production or shipping activities and to resolve complaints or eliminate delays.",15.0000,0.0015,3.0000,3.0000,10.5333,10.8000,1.1940,9.9667
"confer with management or development teams to prioritize needs, resolve conflicts, develop content criteria, or choose solutions.",41.0000,0.0041,3.3415,4.0000,12.5122,13.2195,2.6593,11.7927
"confer with management, production, or marketing staff to discuss project specifications or procedures.",36.0000,0.0036,2.9722,3.0000,11.2222,12.5833,1.4569,10.3056
"confer with managerial or technical personnel, other departments, or contractors to resolve problems or to coordinate activities.",30.0000,0.0030,3.1333,3.0000,12.7333,13.3667,2.1283,19.5167
confer with other academic staff to explain and formulate admission requirements and course credit policies.,33.0000,0.0033,2.9091,3.0000,13.7879,14.4545,1.6273,10.7727
confer with other managers to identify trends or key group interests or concerns or to provide advice on business decisions.,50.0000,0.0050,3.5200,4.0000,13.3600,13.8800,2.7920,16.4400
"confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.",29.0000,0.0029,3.2414,3.0000,10.9655,11.6552,2.5476,13.4310
"confer with parents or guardians, teachers, administrators, and other professionals to discuss children's progress, resolve behavioral, academic, and other problems, and to determine priorities for students and their resource needs.",46.0000,0.0046,3.1304,3.0000,12.9783,12.6304,2.8233,18.0000
"confer with parents or guardians, teachers, counselors, and administrators to resolve students' behavioral and academic problems.",58.0000,0.0058,3.4828,4.0000,11.6897,11.6379,1.6540,13.7759
"confer with parents, administrators, testing specialists, social workers, and professionals to develop individual educational plans designed to promote students' educational, physical, and social development.",15.0000,0.0015,3.2667,4.0000,14.0000,14.0667,1.9500,18.0000
confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.,22.0000,0.0022,3.4545,4.0000,12.1818,12.1818,3.2841,14.2500
confer with producers and directors concerning layout or editing approaches needed to increase dramatic or entertainment value of productions.,134.0000,0.0134,3.3881,4.0000,11.8657,11.5896,4.9301,22.7724
confer with producers and directors to define the nature and placement of film or television music.,52.0000,0.0052,3.5385,4.0000,10.9808,10.5769,3.1058,18.4712
"confer with producers, performers, and others to determine and achieve the desired sound for a production, such as a musical recording or a film.",110.0000,0.0110,3.6273,4.0000,11.2091,10.2727,2.4985,17.3318
confer with project personnel to identify and resolve problems.,17.0000,0.0017,2.7059,2.0000,12.8824,13.3529,2.7441,14.2941
"confer with realtors, lending institution personnel, buyers, sellers, contractors, surveyors, and courthouse personnel to exchange title-related information or to resolve problems.",22.0000,0.0022,2.5455,3.0000,14.4091,14.9091,1.3227,10.6136
confer with research and biomanufacturing personnel to ensure the compatibility of design and production.,15.0000,0.0015,3.2667,3.0000,16.4000,16.8000,4.8167,18.0000
confer with research personnel to clarify or resolve problems and to develop or modify designs.,39.0000,0.0039,3.5641,4.0000,15.1795,15.4103,2.2205,19.3718
"confer with scientists or engineers to conduct analyses of research projects, interpret test results, or develop nonstandard tests.",52.0000,0.0052,3.5577,4.0000,15.8654,16.1538,2.9438,19.6250
"confer with staff, users, and management to establish requirements for new systems or modifications.",77.0000,0.0077,3.2597,3.0000,9.1299,11.0000,1.0330,6.9870
"confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems.",132.0000,0.0132,3.1591,3.0000,12.1364,12.2955,1.4589,12.8409
"confer with systems analysts, engineers, programmers and others to design system and to obtain information on project limitations and capabilities, performance requirements and interfaces.",448.0000,0.0448,3.5759,4.0000,14.1250,14.2857,6.3412,19.5826
